Experiment ID,Algorithm,Mean Validation Recall,Rank of hyperparameter set,C,gamma,kernel,accuracy,precision,recall,f1,balanced_accuracy,max_depth,min_samples_leaf,min_samples_split,n_estimators,colsample_bytree,learning_rate,scale_pos_weight,subsample
2,SVM (StandardScaler),0.842262739597943,13,1.0,scale,poly,,,,,,,,,,,,,
2,SVM (StandardScaler),0.924310425432445,7,1.0,auto,linear,,,,,,,,,,,,,
2,SVM (StandardScaler),0.887540906965872,9,1.0,auto,rbf,,,,,,,,,,,,,
2,SVM (StandardScaler),0.842262739597943,13,1.0,auto,poly,,,,,,,,,,,,,
2,SVM (StandardScaler),0.9264843384759234,3,10.0,scale,linear,,,,,,,,,,,,,
2,SVM (StandardScaler),0.772954651706405,15,10.0,scale,rbf,,,,,,,,,,,,,
2,SVM (StandardScaler),0.7644927536231885,17,10.0,scale,poly,,,,,,,,,,,,,
2,SVM (StandardScaler),0.9264843384759234,3,10.0,auto,linear,,,,,,,,,,,,,
2,SVM (StandardScaler),0.772954651706405,15,10.0,auto,rbf,,,,,,,,,,,,,
2,SVM (StandardScaler),0.7644927536231885,17,10.0,auto,poly,,,,,,,,,,,,,
3,Random Forest,0.38884992987377276,108,,,,,,,,,,1.0,2.0,100.0,,,,
3,Random Forest,0.38889668069191213,105,,,,,,,,,,1.0,2.0,200.0,,,,
3,Random Forest,0.38889668069191213,105,,,,,,,,,,1.0,2.0,500.0,,,,
3,Random Forest,0.4514258999532491,99,,,,,,,,,,1.0,5.0,100.0,,,,
3,Random Forest,0.45575035063113606,97,,,,,,,,,,1.0,5.0,200.0,,,,
3,Random Forest,0.4600748013090229,94,,,,,,,,,,1.0,5.0,500.0,,,,
3,Random Forest,0.5723001402524546,66,,,,,,,,,,1.0,10.0,100.0,,,,
3,Random Forest,0.56575502571295,69,,,,,,,,,,1.0,10.0,200.0,,,,
3,Random Forest,0.5571996259934549,72,,,,,,,,,,1.0,10.0,500.0,,,,
3,Random Forest,0.5183029453015429,87,,,,,,,,,,2.0,2.0,100.0,,,,
3,Random Forest,0.52260402057036,85,,,,,,,,,,2.0,2.0,200.0,,,,
3,Random Forest,0.5182561944834034,89,,,,,,,,,,2.0,2.0,500.0,,,,
3,Random Forest,0.5356708742402991,79,,,,,,,,,,2.0,5.0,100.0,,,,
3,Random Forest,0.533426834969612,81,,,,,,,,,,2.0,5.0,200.0,,,,
3,Random Forest,0.5442028985507246,74,,,,,,,,,,2.0,5.0,500.0,,,,
3,Random Forest,0.6219261337073398,56,,,,,,,,,,2.0,10.0,100.0,,,,
3,Random Forest,0.615474520804114,60,,,,,,,,,,2.0,10.0,200.0,,,,
3,Random Forest,0.6154511453950444,62,,,,,,,,,,2.0,10.0,500.0,,,,
3,Random Forest,0.6715521271622252,43,,,,,,,,,,4.0,2.0,100.0,,,,
3,Random Forest,0.6780972417017297,31,,,,,,,,,,4.0,2.0,200.0,,,,
3,Random Forest,0.6694249649368864,47,,,,,,,,,,4.0,2.0,500.0,,,,
3,Random Forest,0.6715521271622252,43,,,,,,,,,,4.0,5.0,100.0,,,,
3,Random Forest,0.6780972417017297,31,,,,,,,,,,4.0,5.0,200.0,,,,
3,Random Forest,0.6694249649368864,47,,,,,,,,,,4.0,5.0,500.0,,,,
3,Random Forest,0.6802010285179991,29,,,,,,,,,,4.0,10.0,100.0,,,,
3,Random Forest,0.6737260402057036,40,,,,,,,,,,4.0,10.0,200.0,,,,
3,Random Forest,0.67807386629266,35,,,,,,,,,,4.0,10.0,500.0,,,,
3,Random Forest,0.7169705469845722,24,,,,,,,,,10.0,1.0,2.0,100.0,,,,
3,Random Forest,0.7083450210378682,27,,,,,,,,,10.0,1.0,2.0,200.0,,,,
3,Random Forest,0.7147498831229548,26,,,,,,,,,10.0,1.0,2.0,500.0,,,,
3,Random Forest,0.7299205236091633,16,,,,,,,,,10.0,1.0,5.0,100.0,,,,
3,Random Forest,0.7255726975222068,19,,,,,,,,,10.0,1.0,5.0,200.0,,,,
3,Random Forest,0.7190977092099112,23,,,,,,,,,10.0,1.0,5.0,500.0,,,,
3,Random Forest,0.740696587190276,12,,,,,,,,,10.0,1.0,10.0,100.0,,,,
3,Random Forest,0.7385928003740065,15,,,,,,,,,10.0,1.0,10.0,200.0,,,,
3,Random Forest,0.747194950911641,7,,,,,,,,,10.0,1.0,10.0,500.0,,,,
3,Random Forest,0.7234455352968677,21,,,,,,,,,10.0,2.0,2.0,100.0,,,,
3,Random Forest,0.7212716222533894,22,,,,,,,,,10.0,2.0,2.0,200.0,,,,
3,Random Forest,0.714796633941094,25,,,,,,,,,10.0,2.0,2.0,500.0,,,,
3,Random Forest,0.7277699859747546,18,,,,,,,,,10.0,2.0,5.0,100.0,,,,
3,Random Forest,0.7298971482000935,17,,,,,,,,,10.0,2.0,5.0,200.0,,,,
